Fecha	Comportamiento de la accion	Punto medio HIGH-LOW
2021-04-26	Sube	3.375
2021-04-27	Sube	2.2000044999999915
2021-04-28	Baja	3.1324994999999944
2021-04-29	Baja	3.5740049999999997
2021-04-30	Baja	3.9449994999999944
2021-05-03	Baja	5.079993999999999
2021-05-04	Baja	3.270004499999999
2021-05-05	Baja	3.579994499999998
2021-05-06	Baja	3.3529965000000033
2021-05-07	Sube	3.0650025000000056
2021-05-10	Baja	2.824996999999996
2021-05-11	Sube	4.4199979999999925
2021-05-12	Baja	3.2350005000000124
2021-05-13	Baja	3.7099989999999963
2021-05-14	Baja	5.2000044999999915
2021-05-17	Baja	3.6325000000000074
2021-05-18	Sube	3.1340029999999928
2021-05-19	Sube	4.264999000000003
2021-05-20	Baja	2.2849959999999925
2021-05-21	Baja	3.994995000000003
2021-05-24	Sube	2.199996999999996
2021-05-25	Sube	3.332504
2021-05-26	Baja	6.235000499999998
2021-05-27	Sube	4.389999000000003
2021-05-28	Sube	2.6649934999999942
2021-06-01	Baja	3.599998499999998
2021-06-02	Baja	1.972503500000002
2021-06-03	Baja	2.239998
2021-06-04	Sube	2.339996499999998
2021-06-07	Sube	1.577499000000003
2021-06-08	Baja	3.2099989999999963
2021-06-09	Baja	2.3925014999999945
2021-06-10	Sube	3.2549975000000018
2021-06-11	Sube	2.415000500000005
2021-06-14	Baja	1.7099995000000092
2021-06-15	Baja	2.7999954999999943
2021-06-16	Baja	2.6599965000000054
2021-06-17	Sube	4.439994999999996
2021-06-18	Baja	2.957504499999999
2021-06-21	Sube	3.555000000000007
2021-06-22	Sube	2.722000499999993
2021-06-23	Sube	1.885002
2021-06-24	Baja	1.4850004999999982
2021-06-25	Sube	4.544502500000007
2021-06-28	Sube	1.4750059999999934
2021-06-29	Baja	1.5400010000000037
2021-06-30	Baja	3.107505500000002
2021-07-01	Baja	2.510002499999999
2021-07-02	Baja	2.5299990000000037
2021-07-06	Sube	1.7350004999999982
2021-07-07	Sube	2.4700015000000093
2021-07-08	Baja	1.660003500000002
2021-07-09	Sube	3.1000059999999934
2021-07-12	Sube	2.2099989999999963
2021-07-13	Sube	1.5449979999999925
2021-07-14	Baja	3.614998
2021-07-15	Baja	3.0800019999999932
2021-07-16	Baja	2.819999999999993
2021-07-19	Sube	2.589996499999998
2021-07-20	Sube	5.8300020000000075
2021-07-21	Baja	2.280006
2021-07-22	Sube	1.7649995000000018
2021-07-23	Sube	3.8875045000000057
2021-07-26	Baja	2.014999500000002
2021-07-27	Baja	3.042496
2021-07-28	Sube	2.4900055000000094
2021-07-29	Baja	2.035003500000002
2021-07-30	Sube	2.775001500000002
2021-08-02	Baja	3.827499000000003
2021-08-03	Baja	4.397498999999996
2021-08-04	Sube	3.4950024999999982
2021-08-05	Sube	4.995003000000011
2021-08-06	Sube	5.769996499999991
2021-08-09	Baja	4.384994499999991
2021-08-10	Baja	2.214996499999998
2021-08-11	Sube	3.6599959999999925
2021-08-12	Sube	4.674994999999996
2021-08-13	Sube	8.539992999999981
2021-08-16	Sube	3.8200075000000027
2021-08-17	Sube	6.587508999999983
2021-08-18	Sube	4.021500000000003
2021-08-19	Sube	2.6699984999999913
2021-08-20	Sube	4.639999500000016
2021-08-23	Sube	4.679992499999997
2021-08-24	Sube	4.039992999999981
2021-08-25	Baja	3.319000000000017
2021-08-26	Sube	3.3999939999999924
2021-08-27	Sube	3.2395019999999874
2021-08-30	Sube	3.490005499999995
2021-08-31	Baja	4.2890014999999835
2021-09-01	Baja	2.8450009999999963
2021-09-02	Baja	3.8999934999999937
2021-09-03	Sube	4.729995500000001
2021-09-07	Baja	2.5850069999999903
2021-09-08	Baja	2.339996499999984
2021-09-09	Baja	2.965011500000003
2021-09-10	Baja	3.199996999999996
2021-09-13	Baja	6.31500250000002
2021-09-14	Sube	4.074996999999996
2021-09-15	Sube	4.925003000000004
2021-09-16	Sube	2.839995999999985
2021-09-17	Baja	4.404999000000004
2021-09-20	Sube	2.979507500000011
2021-09-21	Baja	5.134994499999976
2021-09-22	Baja	2.3450009999999963
2021-09-23	Sube	5.087494000000021
2021-09-24	Baja	3.4600064999999915
2021-09-27	Baja	11.384994500000005
2021-09-28	Baja	5.209991500000001
2021-09-29	Baja	6.2549894999999935
2021-09-30	Baja	3.634994500000005
2021-10-01	Baja	4.314499000000012
2021-10-04	Baja	5.606002999999987
2021-10-05	Sube	2.9750060000000076
2021-10-06	Sube	3.304992999999996
2021-10-07	Sube	2.5500035000000025
2021-10-08	Baja	6.485000500000012
2021-10-11	Baja	3.3074949999999887
2021-10-12	Sube	5.505004999999983
2021-10-13	Sube	3.5149994999999876
2021-10-14	Sube	6.695007500000003
2021-10-15	Sube	3.894988999999981
2021-10-18	Sube	4.260009999999994
2021-10-19	Sube	2.530013999999994
2021-10-20	Baja	3.824996999999996
2021-10-21	Sube	2.06500250000002
2021-10-22	Baja	4.800003000000004
2021-10-25	Sube	5.212493999999992
2021-10-26	Baja	2.90000950000001
2021-10-27	Baja	3.4499970000000246
2021-10-28	Sube	4.41499349999998
2021-10-29	Sube	5.3300020000000075
2021-11-01	Sube	2.889999500000016
2021-11-02	Sube	4.029999000000004
2021-11-03	Sube	7.054992499999997
2021-11-04	Sube	8.035003499999988
2021-11-05	Sube	3.784988499999997
2021-11-08	Sube	4.44000250000002
2021-11-09	Sube	5.425003000000004
2021-11-10	Baja	12.009994500000005
2021-11-11	Baja	4.839995999999985
2021-11-12	Baja	6.2949979999999925
2021-11-15	Baja	8.027496500000012
2021-11-16	Sube	3.987503000000004
2021-11-17	Sube	4.660004000000015
2021-11-18	Baja	6.81500250000002
2021-11-19	Baja	9.850006000000008
2021-11-22	Baja	17.175003000000004
2021-11-23	Baja	9.296997000000005
2021-11-24	Sube	7.7274935000000085
2021-11-26	Baja	9.284988499999997
2021-11-29	Sube	10.270004499999999
2021-11-30	Baja	9.64999400000002
2021-12-01	Baja	6.399993999999992
2021-12-02	Sube	6.9199979999999925
2021-12-03	Baja	13.339996499999998
2021-12-06	Sube	7.339995999999999
2021-12-07	Sube	3.8574979999999925
2021-12-08	Sube	8.615005499999995
2021-12-09	Baja	5.5449979999999925
2021-12-10	Baja	5.339996500000012
2021-12-13	Sube	5.964996500000012
2021-12-14	Baja	6.285004000000001
2021-12-15	Sube	6.514998999999989
2021-12-16	Baja	7.665008499999999
2021-12-17	Sube	7.2450105000000065
2021-12-20	Sube	5.3400120000000015
2021-12-21	Sube	8.647491500000001
2021-12-22	Sube	5.877487500000001
2021-12-23	Sube	5.625
2021-12-27	Sube	9.005005000000011
2021-12-28	Sube	3.6849975000000086
2021-12-29	Sube	4.113495
2021-12-30	Baja	4.5900120000000015
2021-12-31	Sube	4.004990000000021
2022-01-03	Baja	11.200011999999987
2022-01-04	Baja	14.020004499999999
2022-01-05	Baja	9.135986500000001
2022-01-06	Sube	6.597504000000001
2022-01-07	Baja	8.785003500000002
2022-01-10	Sube	7.230003500000009
2022-01-11	Sube	9.739997500000001
2022-01-12	Sube	5.279999000000004
2022-01-13	Baja	11.99999249999999
2022-01-14	Sube	7.860000499999998
2022-01-18	Baja	5.134994499999991
2022-01-19	Baja	4.989998
2022-01-20	Baja	4.7150040000000075
2022-01-21	Baja	5.510002
2022-01-24	Sube	12.449996999999996
2022-01-25	Baja	6.419998000000007
2022-01-26	Baja	8.162498500000012
2022-01-27	Baja	7.824996999999996
2022-01-28	Sube	6.804999999999993
2022-01-31	Sube	11.109001000000006
2022-02-01	Sube	3.8725049999999896
2022-02-02	Baja	5.9550020000000075
2022-02-03	Sube	4.674995499999994
2022-02-04	Sube	7.269997000000004
2022-02-07	Baja	5.599998500000012
2022-02-08	Sube	7.7099990000000105
2022-02-09	Sube	4.170012999999983
2022-02-10	Sube	6.6599879999999985
2022-02-11	Baja	10.057495000000003
2022-02-14	Sube	7.274993499999994
2022-02-15	Sube	5.614990500000005
2022-02-16	Sube	7.255004499999998
2022-02-17	Baja	8.24000550000001
2022-02-18	Baja	7.919998000000007
2022-02-22	Baja	6.845001500000009
2022-02-23	Baja	6.599998499999998
2022-02-24	Sube	18.515006999999997
2022-02-25	Sube	5.4950105000000065
2022-02-28	Sube	4.760009999999994
2022-03-01	Baja	12.0
2022-03-02	Baja	4.279998500000005
2022-03-03	Baja	13.485008500000006
2022-03-04	Baja	9.449996999999996
2022-03-07	Baja	7.7799989999999895
2022-03-08	Sube	7.550003000000004
2022-03-09	Baja	3.0099944999999906
2022-03-10	Baja	3.400001500000002
2022-03-11	Baja	3.134994500000005
2022-03-14	Baja	4.1650009999999895
2022-03-15	Sube	7.717499000000004
2022-03-16	Sube	11.48000350000001
2022-03-17	Sube	5.115005499999995
2022-03-18	Sube	7.5700069999999755
2022-03-21	Baja	4.725006000000008
2022-03-22	Sube	6.697494500000005
2022-03-23	Baja	7.844986000000006
2022-03-24	Baja	4.595001499999995
2022-03-25	Baja	6.215011500000003
2022-03-28	Baja	6.6999964999999975
2022-03-29	Sube	4.210007000000019
2022-03-30	Baja	18.7299955
2022-03-31	Sube	8.910004
2022-04-01	Baja	6.264999500000002
2022-04-04	Sube	5.2549974999999876
2022-04-05	Baja	3.531006000000005
2022-04-06	Baja	5.885002
2022-04-07	Baja	5.430000000000007
2022-04-08	Baja	4.430000000000007
2022-04-11	Sube	3.7799990000000037
2022-04-12	Baja	5.032500999999996
2022-04-13	Sube	3.125
2022-04-14	Baja	6.310005000000004
2022-04-18	Baja	4.209998999999996
2022-04-19	Sube	5.622497499999994
2022-04-20	Baja	4.654999000000004
2022-04-21	Baja	9.975006000000008
2022-04-22	Baja	4.974998499999998
